"","Id","When","Type","Alberta","ModifiedDate"
"87",75336,"5/1/2009 12:00:00 AM","Conventional Oil",2299602.8,"8/21/2020 1:23:15 PM"
"88",75337,"6/1/2009 12:00:00 AM","Non-Conventional Oil",6488880.3,"8/21/2020 1:23:15 PM"
"89",75338,"6/1/2009 12:00:00 AM","Natural Gas",9932244200,"8/21/2020 1:23:15 PM"
"90",75339,"6/1/2009 12:00:00 AM","Conventional Oil",2219622,"8/21/2020 1:23:15 PM"
"91",75340,"7/1/2009 12:00:00 AM","Natural Gas",10157096800,"8/21/2020 1:23:15 PM"
"92",75341,"7/1/2009 12:00:00 AM","Conventional Oil",2308707.2,"8/21/2020 1:23:15 PM"
"93",75342,"7/1/2009 12:00:00 AM","Non-Conventional Oil",7067458,"8/21/2020 1:23:15 PM"
"94",75343,"8/1/2009 12:00:00 AM","Natural Gas",9984667000,"8/21/2020 1:23:15 PM"
"95",75344,"8/1/2009 12:00:00 AM","Conventional Oil",2319714.9,"8/21/2020 1:23:15 PM"
"96",75345,"8/1/2009 12:00:00 AM","Non-Conventional Oil",6849020.5,"8/21/2020 1:23:15 PM"
"97",75346,"9/1/2009 12:00:00 AM","Conventional Oil",2212676,"8/21/2020 1:23:15 PM"
"98",75347,"9/1/2009 12:00:00 AM","Non-Conventional Oil",6414893.1,"8/21/2020 1:23:15 PM"
"99",75348,"9/1/2009 12:00:00 AM","Natural Gas",9118634900,"8/21/2020 1:23:15 PM"
"100",75349,"10/1/2009 12:00:00 AM","Conventional Oil",2284811.5,"8/21/2020 1:23:15 PM"
"101",75350,"10/1/2009 12:00:00 AM","Non-Conventional Oil",6952096.3,"8/21/2020 1:23:15 PM"
"102",75351,"10/1/2009 12:00:00 AM","Natural Gas",9485261800,"8/21/2020 1:23:15 PM"
"103",75352,"11/1/2009 12:00:00 AM","Conventional Oil",2252494.5,"8/21/2020 1:23:15 PM"
"104",75353,"11/1/2009 12:00:00 AM","Non-Conventional Oil",7005668.5,"8/21/2020 1:23:15 PM"
"105",75354,"11/1/2009 12:00:00 AM","Natural Gas",9442642900,"8/21/2020 1:23:15 PM"
"106",75355,"12/1/2009 12:00:00 AM","Non-Conventional Oil",6560493.1,"8/21/2020 1:23:15 PM"
"107",75356,"12/1/2009 12:00:00 AM","Conventional Oil",2259351.5,"8/21/2020 1:23:15 PM"
"108",75357,"12/1/2009 12:00:00 AM","Natural Gas",9404811000,"8/21/2020 1:23:15 PM"
"109",75358,"1/1/2010 12:00:00 AM","Non-Conventional Oil",5968168.2,"8/21/2020 1:23:15 PM"
"110",75359,"1/1/2010 12:00:00 AM","Natural Gas",9587092300,"8/21/2020 1:23:15 PM"
"111",75360,"1/1/2010 12:00:00 AM","Conventional Oil",2278535.3,"8/21/2020 1:23:15 PM"
"112",75361,"2/1/2010 12:00:00 AM","Natural Gas",8787291700,"8/21/2020 1:23:15 PM"
"113",75362,"2/1/2010 12:00:00 AM","Conventional Oil",2108766.8,"8/21/2020 1:23:15 PM"
"114",75363,"2/1/2010 12:00:00 AM","Non-Conventional Oil",6238742.9,"8/21/2020 1:23:15 PM"
"115",75364,"3/1/2010 12:00:00 AM","Conventional Oil",2352116.8,"8/21/2020 1:23:15 PM"
"116",75365,"3/1/2010 12:00:00 AM","Non-Conventional Oil",6924355.2,"8/21/2020 1:23:15 PM"
"117",75366,"3/1/2010 12:00:00 AM","Natural Gas",9863017800,"8/21/2020 1:23:15 PM"
"118",75367,"4/1/2010 12:00:00 AM","Non-Conventional Oil",6700924.9,"8/21/2020 1:23:15 PM"
"119",75368,"4/1/2010 12:00:00 AM","Conventional Oil",2245983.6,"8/21/2020 1:23:15 PM"
