"","Id","When","Type","Unit","Alberta","ModifiedDate"
"221",124381,"8/1/2001 12:00:00 AM","WTI","$US/bbl",27.31,"8/25/2020 7:56:07 AM"
"222",124382,"9/1/2001 12:00:00 AM","WTI","$US/bbl",25.69,"8/25/2020 7:56:07 AM"
"223",124383,"10/1/2001 12:00:00 AM","WTI","$US/bbl",22.21,"8/25/2020 7:56:07 AM"
"224",124384,"11/1/2001 12:00:00 AM","WTI","$US/bbl",19.67,"8/25/2020 7:56:07 AM"
"225",124385,"12/1/2001 12:00:00 AM","WTI","$US/bbl",19.4,"8/25/2020 7:56:07 AM"
"226",124386,"1/1/2002 12:00:00 AM","WTI","$US/bbl",19.73,"8/25/2020 7:56:07 AM"
"227",124387,"2/1/2002 12:00:00 AM","WTI","$US/bbl",20.76,"8/25/2020 7:56:07 AM"
"228",124388,"3/1/2002 12:00:00 AM","WTI","$US/bbl",24.44,"8/25/2020 7:56:07 AM"
"229",124389,"4/1/2002 12:00:00 AM","WTI","$US/bbl",26.26,"8/25/2020 7:56:07 AM"
"230",124390,"5/1/2002 12:00:00 AM","WTI","$US/bbl",26.95,"8/25/2020 7:56:07 AM"
"231",124391,"6/1/2002 12:00:00 AM","WTI","$US/bbl",25.55,"8/25/2020 7:56:07 AM"
"232",124392,"7/1/2002 12:00:00 AM","WTI","$US/bbl",26.94,"8/25/2020 7:56:07 AM"
"233",124393,"8/1/2002 12:00:00 AM","WTI","$US/bbl",28.2,"8/25/2020 7:56:07 AM"
"234",124394,"9/1/2002 12:00:00 AM","WTI","$US/bbl",29.67,"8/25/2020 7:56:07 AM"
"235",124395,"10/1/2002 12:00:00 AM","WTI","$US/bbl",28.86,"8/25/2020 7:56:07 AM"
"236",124396,"11/1/2002 12:00:00 AM","WTI","$US/bbl",26.19,"8/25/2020 7:56:07 AM"
"237",124397,"12/1/2002 12:00:00 AM","WTI","$US/bbl",29.39,"8/25/2020 7:56:07 AM"
"238",124398,"1/1/2003 12:00:00 AM","WTI","$US/bbl",32.7,"8/25/2020 7:56:07 AM"
