"","Id","StructureType","Area","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"65",223064,"Total residential and non-residential","All areas","1/1/2012 12:00:00 AM",1166243000,831725000,6572082000,200286000,62785000,78871000,114070000,2627901000,23532000,1210328000,250524000,"7/31/2020 10:09:33 AM"
"66",223065,"Total commercial","All areas","2/1/2012 12:00:00 AM",287007000,184972000,1360674000,41057000,13719000,11702000,29717000,497288000,335000,236539000,57796000,"7/31/2020 10:09:33 AM"
"67",223066,"Total industrial","All areas","2/1/2012 12:00:00 AM",71454000,221733000,650960000,11799000,6514000,1649000,11255000,202158000,90000,106879000,15007000,"7/31/2020 10:09:33 AM"
"68",223067,"Total institutional and governmental","All areas","2/1/2012 12:00:00 AM",98975000,81181000,654013000,13591000,17192000,4000,23689000,241331000,0,155714000,22224000,"7/31/2020 10:09:33 AM"
"69",223068,"Total residential","All areas","2/1/2012 12:00:00 AM",707158000,587379000,4327225000,108706000,51080000,66898000,56633000,1710162000,8597000,864924000,161815000,"7/31/2020 10:09:33 AM"
"70",223069,"Total residential and non-residential","All areas","2/1/2012 12:00:00 AM",1164594000,1075265000,6992873000,175153000,88504000,80253000,121294000,2650939000,9022000,1364056000,256842000,"7/31/2020 10:09:33 AM"
"71",223070,"Total commercial","All areas","3/1/2012 12:00:00 AM",421123000,135029000,1691060000,69469000,17738000,88005000,22817000,604952000,9046000,259328000,63061000,"7/31/2020 10:09:33 AM"
"72",223071,"Total industrial","All areas","3/1/2012 12:00:00 AM",140084000,35238000,495562000,41156000,4680000,779000,4824000,196546000,732000,61091000,10124000,"7/31/2020 10:09:33 AM"
"73",223072,"Total institutional and governmental","All areas","3/1/2012 12:00:00 AM",22932000,78248000,747030000,11652000,22170000,6566000,30850000,399933000,0,139472000,34612000,"7/31/2020 10:09:33 AM"
"74",223073,"Total residential","All areas","3/1/2012 12:00:00 AM",686210000,537441000,4038803000,126397000,47748000,68803000,83174000,1408062000,12373000,928708000,131563000,"7/31/2020 10:09:33 AM"
"75",223074,"Total residential and non-residential","All areas","3/1/2012 12:00:00 AM",1270349000,785956000,6972455000,248673000,92336000,164153000,141665000,2609493000,22151000,1388600000,239359000,"7/31/2020 10:09:33 AM"
"76",223075,"Total commercial","All areas","4/1/2012 12:00:00 AM",390973000,223625000,1627026000,47420000,23185000,20922000,25186000,526006000,2524000,312529000,51969000,"7/31/2020 10:09:33 AM"
"77",223076,"Total industrial","All areas","4/1/2012 12:00:00 AM",168933000,74189000,664638000,29561000,6255000,2399000,13552000,220503000,1113000,127323000,16851000,"7/31/2020 10:09:33 AM"
"78",223077,"Total institutional and governmental","All areas","4/1/2012 12:00:00 AM",74946000,86730000,678942000,49123000,5842000,4951000,3726000,309983000,8802000,108624000,21033000,"7/31/2020 10:09:33 AM"
"79",223078,"Total residential","All areas","4/1/2012 12:00:00 AM",685785000,533985000,3953475000,106004000,59827000,64030000,74527000,1367046000,16962000,882787000,158237000,"7/31/2020 10:09:33 AM"
"80",223079,"Total residential and non-residential","All areas","4/1/2012 12:00:00 AM",1320638000,918529000,6924081000,232108000,95109000,92302000,116992000,2423538000,29401000,1431263000,248089000,"7/31/2020 10:09:33 AM"
"81",223080,"Total commercial","All areas","5/1/2012 12:00:00 AM",299699000,169451000,1249048000,38068000,14016000,21291000,23330000,404743000,1316000,204308000,67127000,"7/31/2020 10:09:33 AM"
"82",223081,"Total industrial","All areas","5/1/2012 12:00:00 AM",121542000,45040000,464538000,13025000,4086000,2033000,11057000,173176000,3815000,75833000,12397000,"7/31/2020 10:09:33 AM"
"83",223082,"Total institutional and governmental","All areas","5/1/2012 12:00:00 AM",119219000,128510000,800937000,20687000,14471000,1160000,5471000,291657000,12260000,133109000,74118000,"7/31/2020 10:09:33 AM"
"84",223083,"Total residential","All areas","5/1/2012 12:00:00 AM",726192000,646628000,3996056000,103599000,48981000,63807000,90242000,1325700000,13032000,811002000,155574000,"7/31/2020 10:09:33 AM"
"85",223084,"Total residential and non-residential","All areas","5/1/2012 12:00:00 AM",1266652000,989629000,6510579000,175379000,81553000,88291000,130100000,2195276000,30423000,1224252000,309215000,"7/31/2020 10:09:33 AM"
"86",223085,"Total commercial","All areas","6/1/2012 12:00:00 AM",275266000,138909000,1496806000,45003000,14953000,10821000,44859000,630623000,13705000,248398000,72022000,"7/31/2020 10:09:33 AM"
"87",223086,"Total industrial","All areas","6/1/2012 12:00:00 AM",123887000,58190000,505847000,19072000,2743000,5595000,6305000,196206000,867000,83097000,9174000,"7/31/2020 10:09:33 AM"
"88",223087,"Total institutional and governmental","All areas","6/1/2012 12:00:00 AM",51915000,90148000,508993000,14882000,9965000,1632000,7360000,202968000,4090000,74257000,51777000,"7/31/2020 10:09:33 AM"
"89",223088,"Total residential","All areas","6/1/2012 12:00:00 AM",680028000,622136000,4414708000,126672000,50175000,60490000,87020000,1691519000,12357000,903711000,170907000,"7/31/2020 10:09:33 AM"
"90",223089,"Total residential and non-residential","All areas","6/1/2012 12:00:00 AM",1131097000,909383000,6926354000,205630000,77835000,78538000,145544000,2721315000,31019000,1309462000,303880000,"7/31/2020 10:09:33 AM"
"91",223090,"Total commercial","All areas","7/1/2012 12:00:00 AM",253774000,200275000,1343908000,36773000,18494000,49618000,32504000,433924000,2456000,228647000,65088000,"7/31/2020 10:09:33 AM"
"92",223091,"Total industrial","All areas","7/1/2012 12:00:00 AM",133261000,44039000,533384000,16789000,2391000,4275000,2901000,202757000,2997000,115005000,8295000,"7/31/2020 10:09:33 AM"
"93",223092,"Total institutional and governmental","All areas","7/1/2012 12:00:00 AM",29897000,49234000,392351000,2313000,15074000,3810000,6116000,154853000,1119000,115097000,14490000,"7/31/2020 10:09:33 AM"
"94",223093,"Total residential","All areas","7/1/2012 12:00:00 AM",644453000,654477000,4120552000,128542000,45096000,64092000,93453000,1490239000,14871000,822371000,140443000,"7/31/2020 10:09:33 AM"
"95",223094,"Total residential and non-residential","All areas","7/1/2012 12:00:00 AM",1061386000,948026000,6390196000,184418000,81054000,121795000,134974000,2281772000,21443000,1281120000,228316000,"7/31/2020 10:09:33 AM"
"96",223095,"Total commercial","All areas","8/1/2012 12:00:00 AM",318910000,216860000,1541093000,36190000,21523000,40661000,28417000,505245000,4022000,270250000,90116000,"7/31/2020 10:09:33 AM"
"97",223096,"Total industrial","All areas","8/1/2012 12:00:00 AM",88368000,52828000,617776000,16158000,3046000,20364000,1701000,305874000,1831000,108763000,18469000,"7/31/2020 10:09:33 AM"
"98",223097,"Total institutional and governmental","All areas","8/1/2012 12:00:00 AM",67849000,75190000,968344000,14653000,15835000,1200000,10065000,531456000,251000,222615000,27834000,"7/31/2020 10:09:33 AM"
