"","Id","When","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate","Type"
"112",27391,"11/1/2016 12:00:00 AM",465,358,5470,137,242,157,397,1490,49,2049,121,"8/5/2020 8:48:21 AM","Personal"
"113",27392,"11/1/2016 12:00:00 AM",12,8,229,2,4,6,5,42,0,144,6,"8/5/2020 8:48:21 AM","Corporate"
"114",27393,"12/1/2016 12:00:00 AM",10,20,243,4,3,2,4,57,0,134,9,"8/5/2020 8:48:21 AM","Corporate"
"115",27394,"12/1/2016 12:00:00 AM",401,324,4442,93,226,94,267,1153,28,1729,121,"8/5/2020 8:48:21 AM","Personal"
"116",27395,"1/1/2017 12:00:00 AM",391,336,4221,83,140,119,277,1065,19,1663,117,"8/5/2020 8:48:21 AM","Personal"
"117",27396,"1/1/2017 12:00:00 AM",8,15,177,3,2,0,3,40,1,99,6,"8/5/2020 8:48:21 AM","Corporate"
"118",27397,"2/1/2017 12:00:00 AM",9,16,229,3,1,2,1,56,1,133,7,"8/5/2020 8:48:21 AM","Corporate"
"119",27398,"2/1/2017 12:00:00 AM",426,326,4473,99,158,82,239,1166,28,1857,90,"8/5/2020 8:48:21 AM","Personal"
"120",27399,"3/1/2017 12:00:00 AM",504,448,5632,120,256,134,374,1540,41,2099,113,"8/5/2020 8:48:21 AM","Personal"
"121",27400,"3/1/2017 12:00:00 AM",10,13,276,6,5,2,5,61,4,165,5,"8/5/2020 8:48:21 AM","Corporate"
"122",27401,"4/1/2017 12:00:00 AM",14,10,239,2,7,4,2,57,0,133,10,"8/5/2020 8:48:21 AM","Corporate"
"123",27402,"4/1/2017 12:00:00 AM",407,356,5078,102,243,130,385,1353,38,1936,121,"8/5/2020 8:48:21 AM","Personal"
"124",27403,"5/1/2017 12:00:00 AM",460,416,5615,118,246,120,365,1501,33,2208,143,"8/5/2020 8:48:21 AM","Personal"
"125",27404,"5/1/2017 12:00:00 AM",15,12,284,5,5,1,4,63,0,163,15,"8/5/2020 8:48:21 AM","Corporate"
"126",27405,"6/1/2017 12:00:00 AM",12,9,226,2,6,3,6,38,2,141,7,"8/5/2020 8:48:21 AM","Corporate"
"127",27406,"6/1/2017 12:00:00 AM",435,387,5068,117,217,123,342,1364,40,1916,123,"8/5/2020 8:48:21 AM","Personal"
"128",27407,"7/1/2017 12:00:00 AM",328,307,4331,122,193,88,338,1120,29,1710,92,"8/5/2020 8:48:21 AM","Personal"
"129",27408,"7/1/2017 12:00:00 AM",5,11,197,0,4,4,6,63,0,99,5,"8/5/2020 8:48:21 AM","Corporate"
"130",27409,"8/1/2017 12:00:00 AM",18,2,208,4,2,0,5,55,1,112,9,"8/5/2020 8:48:21 AM","Corporate"
"131",27410,"8/1/2017 12:00:00 AM",450,312,4737,99,242,104,307,1212,35,1852,118,"8/5/2020 8:48:21 AM","Personal"
"132",27411,"9/1/2017 12:00:00 AM",404,320,4862,120,191,116,335,1294,34,1933,104,"8/5/2020 8:48:21 AM","Personal"
"133",27412,"9/1/2017 12:00:00 AM",5,9,180,0,0,2,3,39,1,117,4,"8/5/2020 8:48:21 AM","Corporate"
"134",27413,"10/1/2017 12:00:00 AM",11,4,250,1,5,0,3,67,0,145,14,"8/5/2020 8:48:21 AM","Corporate"
"135",27414,"10/1/2017 12:00:00 AM",450,294,4994,154,190,127,306,1327,28,1978,129,"8/5/2020 8:48:21 AM","Personal"
"136",27415,"11/1/2017 12:00:00 AM",403,352,4826,127,192,130,280,1261,41,1928,103,"8/5/2020 8:48:21 AM","Personal"
"137",27416,"11/1/2017 12:00:00 AM",15,9,222,4,3,5,3,46,0,124,13,"8/5/2020 8:48:21 AM","Corporate"
