"","Id","When","Type","Alberta","ModifiedDate"
"112",49700,"2/1/2010 12:00:00 AM","Natural Gas",8787291700,"8/21/2020 1:25:18 PM"
"113",49701,"2/1/2010 12:00:00 AM","Conventional Oil",2108766.8,"8/21/2020 1:25:18 PM"
"114",49702,"2/1/2010 12:00:00 AM","Non-Conventional Oil",6238742.9,"8/21/2020 1:25:18 PM"
"115",49703,"3/1/2010 12:00:00 AM","Conventional Oil",2352116.8,"8/21/2020 1:25:18 PM"
"116",49704,"3/1/2010 12:00:00 AM","Non-Conventional Oil",6924355.2,"8/21/2020 1:25:18 PM"
"117",49705,"3/1/2010 12:00:00 AM","Natural Gas",9863017800,"8/21/2020 1:25:18 PM"
"118",49706,"4/1/2010 12:00:00 AM","Non-Conventional Oil",6700924.9,"8/21/2020 1:25:18 PM"
"119",49707,"4/1/2010 12:00:00 AM","Conventional Oil",2245983.6,"8/21/2020 1:25:18 PM"
"120",49708,"4/1/2010 12:00:00 AM","Natural Gas",9622388700,"8/21/2020 1:25:18 PM"
"121",49709,"5/1/2010 12:00:00 AM","Natural Gas",9790009400,"8/21/2020 1:25:18 PM"
"122",49710,"5/1/2010 12:00:00 AM","Non-Conventional Oil",7328029.1,"8/21/2020 1:25:18 PM"
"123",49711,"5/1/2010 12:00:00 AM","Conventional Oil",2304554.8,"8/21/2020 1:25:18 PM"
"124",49712,"6/1/2010 12:00:00 AM","Non-Conventional Oil",7340886.7,"8/21/2020 1:25:18 PM"
"125",49713,"6/1/2010 12:00:00 AM","Natural Gas",9112047000,"8/21/2020 1:25:18 PM"
"126",49714,"6/1/2010 12:00:00 AM","Conventional Oil",2192497.5,"8/21/2020 1:25:18 PM"
"127",49715,"7/1/2010 12:00:00 AM","Non-Conventional Oil",7571798.3,"8/21/2020 1:25:18 PM"
"128",49716,"7/1/2010 12:00:00 AM","Natural Gas",9584063800,"8/21/2020 1:25:18 PM"
"129",49717,"7/1/2010 12:00:00 AM","Conventional Oil",2286966.9,"8/21/2020 1:25:18 PM"
"130",49718,"8/1/2010 12:00:00 AM","Conventional Oil",2310148.6,"8/21/2020 1:25:18 PM"
"131",49719,"8/1/2010 12:00:00 AM","Natural Gas",9586635100,"8/21/2020 1:25:18 PM"
"132",49720,"8/1/2010 12:00:00 AM","Non-Conventional Oil",7486064.1,"8/21/2020 1:25:18 PM"
"133",49721,"9/1/2010 12:00:00 AM","Non-Conventional Oil",6638169.8,"8/21/2020 1:25:18 PM"
"134",49722,"9/1/2010 12:00:00 AM","Conventional Oil",2204683.1,"8/21/2020 1:25:18 PM"
"135",49723,"9/1/2010 12:00:00 AM","Natural Gas",8953293400,"8/21/2020 1:25:18 PM"
"136",49724,"10/1/2010 12:00:00 AM","Natural Gas",9294761500,"8/21/2020 1:25:18 PM"
"137",49725,"10/1/2010 12:00:00 AM","Non-Conventional Oil",7195056,"8/21/2020 1:25:18 PM"
"138",49726,"10/1/2010 12:00:00 AM","Conventional Oil",2333947,"8/21/2020 1:25:18 PM"
"139",49727,"11/1/2010 12:00:00 AM","Natural Gas",8801163600,"8/21/2020 1:25:18 PM"
"140",49728,"11/1/2010 12:00:00 AM","Conventional Oil",2306025,"8/21/2020 1:25:18 PM"
"141",49729,"11/1/2010 12:00:00 AM","Non-Conventional Oil",7759823,"8/21/2020 1:25:18 PM"
"142",49730,"12/1/2010 12:00:00 AM","Conventional Oil",2410320.1,"8/21/2020 1:25:18 PM"
"143",49731,"12/1/2010 12:00:00 AM","Non-Conventional Oil",8218928.7,"8/21/2020 1:25:18 PM"
"144",49732,"12/1/2010 12:00:00 AM","Natural Gas",9180499900,"8/21/2020 1:25:18 PM"
"145",49733,"1/1/2011 12:00:00 AM","Natural Gas",9074097300,"8/21/2020 1:25:18 PM"
"146",49734,"1/1/2011 12:00:00 AM","Conventional Oil",2380002.7,"8/21/2020 1:25:18 PM"
"147",49735,"1/1/2011 12:00:00 AM","Non-Conventional Oil",7744551.1,"8/21/2020 1:25:18 PM"
