"","Id","When","DataType","NAICS","PrincipalStatistics","Alberta","BritishColumbia","Canada","Manitoba","NewBrunswick","NewfoundlandAndLabrador","NovaScotia","Ontario","PrinceEdwardIsland","Quebec","Saskatchewan","ModifiedDate"
"79",265718,"7/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",458093000,85815000,NA,27673000,NA,NA,NA,1315017000,NA,523566000,41205000,"8/14/2020 10:57:46 AM"
"80",265719,"8/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",488184000,84457000,NA,33359000,NA,NA,NA,1335250000,NA,544502000,24447000,"8/14/2020 10:57:46 AM"
"81",265720,"9/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",486178000,70168000,NA,34827000,NA,NA,NA,1414137000,NA,555819000,37280000,"8/14/2020 10:57:46 AM"
"82",265721,"10/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",561428000,69309000,NA,42121000,NA,NA,NA,1380964000,NA,559374000,32647000,"8/14/2020 10:57:46 AM"
"83",265722,"11/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",468938000,65665000,NA,35679000,NA,NA,NA,1365189000,NA,562657000,24275000,"8/14/2020 10:57:46 AM"
"84",265723,"12/1/1998 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",505213000,70679000,NA,34072000,NA,NA,NA,1259999000,NA,494353000,35435000,"8/14/2020 10:57:46 AM"
"85",265724,"1/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",464133000,66224000,NA,39691000,NA,NA,NA,1329489000,3466000,501197000,41791000,"8/14/2020 10:57:46 AM"
"86",265725,"2/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",441829000,71093000,NA,37570000,NA,NA,NA,1354078000,1848000,518956000,50432000,"8/14/2020 10:57:46 AM"
"87",265726,"3/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",537815000,88089000,NA,52530000,NA,NA,NA,1563497000,2226000,609058000,68311000,"8/14/2020 10:57:46 AM"
"88",265727,"4/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",538237000,83544000,NA,51242000,NA,NA,NA,1501255000,2035000,586473000,64745000,"8/14/2020 10:57:46 AM"
"89",265728,"5/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",646029000,98749000,NA,55336000,NA,NA,NA,1572089000,8841000,638609000,92710000,"8/14/2020 10:57:46 AM"
"90",265729,"6/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",502497000,96190000,NA,45567000,NA,NA,NA,1606588000,9330000,602063000,61602000,"8/14/2020 10:57:46 AM"
"91",265730,"7/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",491463000,92149000,NA,33979000,NA,NA,NA,1493699000,8622000,558331000,46099000,"8/14/2020 10:57:46 AM"
"92",265731,"8/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",524614000,85049000,NA,36724000,NA,NA,NA,1566852000,3285000,603801000,38064000,"8/14/2020 10:57:46 AM"
"93",265732,"9/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",522847000,80979000,NA,37397000,NA,NA,NA,1634086000,3829000,639018000,36387000,"8/14/2020 10:57:46 AM"
"94",265733,"10/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",584630000,76737000,NA,44955000,NA,NA,NA,1531732000,3510000,609842000,45276000,"8/14/2020 10:57:46 AM"
"95",265734,"11/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",567851000,77945000,NA,41988000,NA,NA,NA,1622691000,2905000,598819000,37152000,"8/14/2020 10:57:46 AM"
"96",265735,"12/1/1999 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",570537000,82565000,NA,39290000,NA,NA,NA,1554079000,2995000,584813000,40950000,"8/14/2020 10:57:46 AM"
"97",265736,"1/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",469724000,76862000,NA,39788000,NA,NA,NA,1440705000,2963000,553293000,40445000,"8/14/2020 10:57:46 AM"
"98",265737,"2/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",490818000,76591000,NA,44288000,NA,NA,NA,1520295000,2150000,570458000,51771000,"8/14/2020 10:57:46 AM"
"99",265738,"3/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",561473000,92530000,NA,42899000,NA,NA,NA,1742622000,2213000,652930000,79377000,"8/14/2020 10:57:46 AM"
"100",265739,"4/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",576636000,85447000,NA,54919000,NA,NA,NA,1517489000,2049000,616324000,73782000,"8/14/2020 10:57:46 AM"
"101",265740,"5/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",715619000,96476000,NA,60789000,NA,NA,NA,1721605000,12994000,685912000,91113000,"8/14/2020 10:57:46 AM"
"102",265741,"6/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",572410000,96844000,NA,42615000,NA,NA,NA,1737636000,12620000,688548000,56037000,"8/14/2020 10:57:46 AM"
"103",265742,"7/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",633150000,88076000,NA,36542000,NA,NA,NA,1531494000,5501000,614487000,29541000,"8/14/2020 10:57:46 AM"
"104",265743,"8/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",666655000,83062000,NA,42767000,NA,NA,NA,1620921000,4534000,650475000,34703000,"8/14/2020 10:57:46 AM"
"105",265744,"9/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",671807000,77745000,NA,39447000,NA,NA,NA,1682344000,3340000,629086000,40482000,"8/14/2020 10:57:46 AM"
"106",265745,"10/1/2000 12:00:00 AM","Unadjusted","Chemical manufacturing","Sales of goods manufactured (shipments)",804191000,81975000,NA,52788000,NA,NA,NA,1728818000,3156000,647002000,51295000,"8/14/2020 10:57:46 AM"
